Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,79.400002,79.800003,79.250000,79.699997,76.538429,9258296
2019-06-13,79.400002,79.550003,78.949997,79.050003,75.914215,5914941
2019-06-14,79.000000,79.150002,78.800003,78.900002,75.770164,3164087
2019-06-17,78.449997,78.949997,78.099998,78.699997,75.578094,6141128
2019-06-18,78.800003,79.000000,78.599998,78.900002,75.770164,2890377
2019-06-19,80.000000,80.800003,79.949997,80.750000,77.546776,21832509
2019-06-20,80.750000,81.000000,80.650002,80.849998,77.642807,11581994
2019-06-21,81.099998,81.199997,80.800003,80.849998,77.642807,15343532
2019-06-24,80.800003,81.500000,80.699997,81.199997,77.978928,16600747
2019-06-25,81.150002,81.400002,80.599998,80.750000,77.546776,7941128
2019-06-26,80.599998,80.599998,80.250000,80.349998,77.162643,5913352
2019-06-27,80.550003,81.599998,80.550003,81.500000,78.267029,15351329
2019-06-28,81.449997,81.550003,80.849998,80.900002,77.690834,3940686
2019-07-01,82.050003,82.800003,82.050003,82.650002,79.371407,13771395
2019-07-02,82.650002,82.699997,82.400002,82.449997,79.179337,5209290
2019-07-03,82.349998,82.349998,81.349998,81.500000,78.267029,8615424
2019-07-04,81.800003,82.199997,81.800003,82.000000,78.747192,5777556
2019-07-05,82.099998,82.349998,81.800003,81.900002,78.651161,1612933
2019-07-08,81.800003,82.000000,81.400002,81.599998,78.363060,3859058
2019-07-09,81.750000,81.750000,81.400002,81.500000,78.267029,4083155
2019-07-10,81.949997,82.250000,81.849998,82.199997,78.939255,4427730
2019-07-11,82.650002,83.050003,82.500000,82.849998,79.563469,10379773
2019-07-12,82.849998,83.000000,82.699997,82.750000,79.467438,2972505
2019-07-15,82.849998,83.349998,82.250000,83.199997,79.899590,9336043
2019-07-16,83.199997,83.449997,83.150002,83.349998,80.043640,5503245
2019-07-17,83.250000,83.250000,82.800003,82.800003,79.515465,10598530
2019-07-18,82.599998,82.949997,82.599998,82.699997,79.419426,7541026
2019-07-19,83.000000,83.449997,83.000000,83.000000,80.387955,9780922
2019-07-22,83.099998,83.500000,83.099998,83.400002,80.775368,8368544
2019-07-23,83.599998,83.900002,83.500000,83.599998,80.969070,5899116
